1.00	2.00	0.00	0.00	80.00	5.00	0.00	91.00	6.00	0.00	8.00	11.00	41.00	0.00	20.00	16.00	0.00	2.00	9.00	384.00
20.00	49.00	62.00	1.00	134.00	40.00	26.00	33.00	363.00	19.00	388.00	17.00	357.00	11.00	26.00	1025.00	89.00	4.00	22.00	14.00
16.00	1.00	6.00	21.00	4.00	47.00	48.00	93.00	66.00	22.00	262.00	45.00	118.00	31.00	34.00	27.00	12.00	49.00	112.00	1.00
423.00	2660.95	16213.99	2119.87	3657.00	1448.00	7590.00	1625.00	671.00	3603.95	3030.95	1958.98	629.00	2236.90	1726.00	2020.94	680.00	2382.95	1278.97	2111.99
972.00	1918.00	1985.00	2390.00	3106.00	11237.00	8658.00	437.00	5810.00	2062.00	5436.00	6891.00	1916.00	3324.00	3564.00	4496.00	2358.00	1802.00	8226.00	4213.00
277.00	186.00	5755.00	853.00	223.00	8396.00	2530.00	64.00	998.00	3747.00	2225.00	484.00	508.00	278.00	259.00	1522.00	173.00	2711.00	2193.00	90.00
31.00	1.00	19.00	52.00	3.00	5.00	4.00	21.00	191.00	0.00	39.00	2.00	0.00	3.00	53.00	4.00	789.00	0.00	14.00	8.00
364.00	501.00	678.00	1291.96	2240.90	1555.00	1389.00	405.00	1254.00	1412.00	3789.99	848.00	1891.00	1869.00	979.00	647.00	540.00	1143.00	697.00	450.00
4.00	43.00	16.00	177.00	121.00	186.00	230.00	5.00	759.00	12.00	20.00	149.00	367.00	70.00	40.00	185.00	39.00	5.00	104.00	4.00
924.00	515.00	852.00	3774.00	1096.00	2500.00	1693.00	237.00	856.00	1851.00	451.00	934.00	442.00	595.00	755.00	141.00	256.00	131.00	390.00	668.00
1.00	6262.00	0.00	50.00	4.00	55.00	8.00	5.00	50.00	0.00	18.00	178.00	5878.00	34.00	666.00	9828.00	91.00	258.00	253.00	11.00
21.00	171.00	14.00	58.00	53.00	90.00	194.00	26.00	189.00	24.00	136.00	254.00	4524.00	38.00	70.00	79.00	1034.00	73.00	154.00	7.00
618.00	2378.00	1185.00	805.00	1579.00	2506.00	1132.00	375.00	2518.00	812.00	1588.00	1534.00	1696.00	1939.00	441.00	1183.00	1321.00	890.00	1638.00	432.00
0.00	2.00	1.00	22.00	10.00	2.00	3.00	0.00	2.00	0.00	3.00	3.00	5.00	0.00	0.00	0.00	1.00	0.00	3.00	0.00
10.00	283.00	311.00	466.00	8.00	213.00	572.00	39.00	72.00	83.00	33.00	103.00	238.00	63.00	35.00	46.00	83.00	109.00	37.00	43.00
390.00	503.00	626.00	699.00	154.00	91.00	102.00	138.00	952.00	128.00	933.00	33.00	112.00	20.00	392.00	1007.00	213.00	18.00	138.00	1056.00
1557.00	2440.00	2827.00	0.00	1013.00	22271.00	17.00	7734.00	5.00	6144.00	30327.00	109.00	13635.00	3224.00	13399.00	4.00	521.00	14618.00	923.00	18487.00
2033.72	1064.21	1139.69	424.20	1572.96	4711.47	1666.73	3531.51	1631.89	1174.66	2656.73	4436.73	1027.22	2444.18	2596.13	1644.63	1591.26	660.77	7273.98	3862.67
673.00	1467.00	669.00	786.00	935.00	1624.00	1234.00	796.00	1357.00	941.00	1573.00	873.00	1582.00	848.00	198.00	1422.00	1281.00	462.00	1055.00	741.00
4757.00	2345.00	1604.00	961.00	2329.00	6385.00	3122.00	1507.00	1491.00	2857.00	2069.00	4082.00	2480.00	1249.00	4242.00	2200.00	3918.00	1396.00	1343.00	9491.00
1006.64	491.93	309.05	156.06	484.36	911.58	473.90	2095.92	1431.26	388.68	848.98	927.94	293.70	492.21	388.92	205.41	479.60	112.20	633.83	2118.93
